ID,Sampling_1,Sampling_2,Common period (Band1 & Band1),Upper error bound,Lower error bound,Significance,Band1-Band2
0458387,70.30812500000002,74.99566666666651,nan,nan,nan,nan,0-1
0458387,70.30812500000002,74.99566666666651,nan,nan,nan,nan,0-2
0458387,70.30812500000002,77.58137931034484,nan,nan,nan,nan,0-3
0458387,74.99566666666651,74.99566666666651,nan,nan,nan,nan,1-2
0458387,74.99566666666651,77.58137931034484,nan,nan,nan,nan,1-3
0458387,74.99566666666651,77.58137931034484,44.28697962798937,41.626584450805616,0.9148202831698526,0.98,2-3
1384177,22.738869565217403,21.974453781512597,335.5704697986577,-1,-1,1.0,0-1
1384177,22.738869565217403,19.333076923076934,335.5704697986577,-1,-1,1.0,0-2
1384177,22.738869565217403,22.542844827586215,nan,nan,nan,nan,0-3
1384177,21.974453781512597,19.333076923076934,335.5704697986577,-1,-1,1.0,1-2
1384177,21.974453781512597,22.542844827586215,nan,nan,nan,nan,1-3
1384177,19.333076923076934,22.542844827586215,nan,nan,nan,nan,2-3
